level,等级
info,信息
debug,调试
warn,警告
error,错误
fatal,致命
server_start_notify,服务器启动通知
server_stop_notify,服务器关闭通知
server_log_notify,服务器日志通知
time,时间
trace,堆栈
content,内容
cost_time,耗时
process,进程
config,配置
file,文件
vip_order,会员订单
double_order,双人订单
dirve_order,自驾订单
normal_order,普通订单
act_commission,活动佣金
act_sallte,活动结算
system_refund,系统退款
commission_sallte,佣金结算
order_complaint_notify,订单投诉通知
user_nick,用户昵称
order_amount,订单金额
phone_number,联系方式
user_city,所在城市
pay_time,支付时间
create_time,投诉时间
expire_time,过期时间
complaint_reason,投诉原因
order_desc,订单描述
order_remark,订单备注
